"titulo","autor","precio","enlace","editorial","encuadernacion","paginas","publicacion","precio_pag","anio"
"MARKETING 4.0","Phillip Kotler",34900,"https://www.yenny-elateneo.com/productos/marketing-4-0/","Lid","Tapa Blanda",192,"09/2022",181.770833333333,2022
"LA PUBLICIDAD","Gloria Jimenez-marin / Esther Simancas-gonzalez",41182.88,"https://www.yenny-elateneo.com/productos/la-publicidad/","Piramide","Tapa Blanda",225,"08/2022",183.035022222222,2022
"COMO DISFRUTAR EN EL TRABAJO","Reverte",30590,"https://www.yenny-elateneo.com/productos/como-disfrutar-en-el-trabajo/","Reverte","Tapa Blanda",303,"07/2022",100.957095709571,2022
"REVOLUCIONANDO EL TRABAJO","Aaron Dignan",27968,"https://www.yenny-elateneo.com/productos/revolucionando-el-trabajo/","Reverte","Tapa Blanda",323,"07/2022",86.5882352941177,2022
"GESTIONA CON EXITO UN CAMBIO PROFESIONAL","Michael Watkins",27968,"https://www.yenny-elateneo.com/productos/gestiona-con-exito-un-cambio-profesional/","Reverte","Tapa Blanda",218,"07/2022",128.293577981651,2022
"7 MOMENTS OF COACHING THE","Reverte",30170.48,"https://www.yenny-elateneo.com/productos/7-moments-of-coaching-the/","Reverte","Tapa Blanda",140,"07/2022",215.503428571429,2022
"INTERNACIONALIZAR CON EXITO","Pere Ballart Hernandez",55400,"https://www.yenny-elateneo.com/productos/internacionalizar-con-exito/","Profit","Tapa Blanda",208,"07/2022",266.346153846154,2022
"EMPRESA INVERTEBRADA","Ricardo Sanchez Butragueno",34700,"https://www.yenny-elateneo.com/productos/empresa-invertebrada/","Plataforma Editorial","Tapa Blanda",152,"07/2022",228.289473684211,2022
"7 VENDEDORES DE EXITO¿ Y LOS 8 COMPRADORES EMPEÑADOS EN QUE FRACASEN LOS (ARG)","Jesus Gul Vilda",21400,"https://www.yenny-elateneo.com/productos/7-vendedores-de-exito-y-los-8-compradores-empenados-en-que-fracasen-los-arg/","Empresa Activa","Tapa Blanda",216,"06/2022",99.0740740740741,2022
"FACILITAR AVANCES CONJUNTOS (ARG)","Adam Kahane",22000,"https://www.yenny-elateneo.com/productos/facilitar-avances-conjuntos-arg/","Empresa Activa","Tapa Blanda",224,"06/2022",98.2142857142857,2022
"TRES FORMAS DE TOMAR UN HELADO","Enrique Espeche",24900,"https://www.yenny-elateneo.com/productos/tres-formas-de-tomar-un-helado/","El Ateneo","Tapa Blanda",320,"06/2022",77.8125,2022
"EL LIBRO DEL CAMBIO DE ENRIC","Enric Llado",34700,"https://www.yenny-elateneo.com/productos/el-libro-del-cambio-de-enric/","Kolima","Tapa Blanda",128,"06/2022",271.09375,2022
"EL SER Y EL HACER DEL COACH","Ana Luisa Escalante / Damian Goldvarg / Norma Perel",33600,"https://www.yenny-elateneo.com/productos/el-ser-y-el-hacer-del-coach/","Granica","Tapa Blanda",224,"05/2022",150,2022
"SHINE","Ana De Andres",46200,"https://www.yenny-elateneo.com/productos/shine/","Kolima","Tapa Blanda",256,"05/2022",180.46875,2022
"LO QUE SEA DE CADA QUIEN","Alvin Roth",24500,"https://www.yenny-elateneo.com/productos/lo-que-sea-de-cada-quien/","Oceano","Tapa Blanda",276,"05/2022",88.768115942029,2022
"ENSAYO SOBRE INCLUSION FINANCIERA","Biblioteca Nacional",15375,"https://www.yenny-elateneo.com/productos/ensayo-sobre-inclusion-financiera/","Biblioteca Nacional","Tapa Blanda",344,"03/2022",44.6947674418605,2022
"CRECE Y HAZTE RICO","Romuald Fons",36900,"https://www.yenny-elateneo.com/productos/crece-y-hazte-rico/","Paidos","Tapa Blanda",272,"03/2022",135.661764705882,2022
"LA BOTELLA MEDIO LLENA","Oriol Amat",39700,"https://www.yenny-elateneo.com/productos/la-botella-medio-llena/","Profit","Tapa Blanda",192,"03/2022",206.770833333333,2022
"FRICTIONLESS","Marc Cortes",58900,"https://www.yenny-elateneo.com/productos/frictionless/","Profit","Tapa Blanda",304,"03/2022",193.75,2022
"CIRCULANDO HACIA UNA NUEVA ECONOMIA","Jose Luis Gallego",54500,"https://www.yenny-elateneo.com/productos/circulando-hacia-una-nueva-economia/","Profit","Tapa Blanda",216,"03/2022",252.314814814815,2022
"PODER CUANTICO PARA GANAR MAS EN LOS NEGOCIOS","Josep Alet",54500,"https://www.yenny-elateneo.com/productos/poder-cuantico-para-ganar-mas-en-los-negocios/","Profit","Tapa Blanda",192,"03/2022",283.854166666667,2022
"LA PUBLICIDAD MODERNA","Fernando Roig",26000,"https://www.yenny-elateneo.com/productos/la-publicidad-moderna/","Ediciones Infinito","Tapa Blanda",152,"03/2022",171.052631578947,2022
"METODO DE NEGOCIACION","Aurelien Colson / Alain Lempereur / Ricardo Perez Nuckel",39900,"https://www.yenny-elateneo.com/productos/metodo-de-negociacion/","Granica","Tapa Blanda",304,"03/2022",131.25,2022
"IMPACTO","Christen Brand",46200,"https://www.yenny-elateneo.com/productos/impacto1/","Profit","Tapa Blanda",256,"02/2022",180.46875,2022
"COMO COMER CANGREJO Y NO MORIR EN EL INTENTO","Monica Alonso / Alfonso Cornella",42500,"https://www.yenny-elateneo.com/productos/como-comer-cangrejo-y-no-morir-en-el-intento/","Profit","Tapa Blanda",110,"02/2022",386.363636363636,2022
"TELETRABAJO: VIVIR Y TRABAJAR MEJOR","Varios Autores",36900,"https://www.yenny-elateneo.com/productos/teletrabajo-vivir-y-trabajar-mejor/","Profit","Tapa Blanda",200,"12/2021",184.5,2021
"ESTO ES PERSONAL","Mori Taheripour",24400,"https://www.yenny-elateneo.com/productos/esto-es-personal/","Oceano","Tapa Blanda",260,"11/2021",93.8461538461538,2021
"EL MERCADO DE LA SALVACION","Eugenio A. Marchiori",39600,"https://www.yenny-elateneo.com/productos/el-mercado-de-la-salvacion/","Granica","Tapa Blanda",288,"11/2021",137.5,2021
"EVALUACIONES MULTIPLES","Martha Alles",42900,"https://www.yenny-elateneo.com/productos/evaluaciones-multiples/","Granica","Tapa Blanda",320,"11/2021",134.0625,2021
"RH POSITIVO","Varios Autores",46200,"https://www.yenny-elateneo.com/productos/rh-positivo/","Profit","Tapa Blanda",216,"10/2021",213.888888888889,2021
"WISE WORKERS","Ramon Cabezas",46200,"https://www.yenny-elateneo.com/productos/wise-workers/","Profit","Tapa Blanda",208,"09/2021",222.115384615385,2021
"HAZLO YA","Napoleon Hill",23900,"https://www.yenny-elateneo.com/productos/hazlo-ya/","Del Fondo Editorial","Tapa Blanda",214,"09/2021",111.682242990654,2021
"EMPRENDEDOR","Victor Hugo Manzanilla",27600,"https://www.yenny-elateneo.com/productos/emprendedor/","Agustin Agency","Tapa Blanda",NA,"07/2021",NA,2021
"EL VALER DE LOS VALORES","Horacio Bolanos",28990,"https://www.yenny-elateneo.com/productos/el-valer-de-los-valores/","Temas Grupo Editorial Srl","Tapa Blanda",198,"07/2021",146.414141414141,2021
"FINANCIANDO EL DESARROLLO","Christian G. Asinelli",29000,"https://www.yenny-elateneo.com/productos/financiando-el-desarrollo/","Vertice De Ideas","Tapa Blanda",258,"06/2021",112.403100775194,2021
"DIGITALMENTE REBELDES. MINDSET DEL NUEVO EMPRENDEDOR","Mateo Bovio",18500,"https://www.yenny-elateneo.com/productos/digitalmente-rebeldes-mindset-del-nuevo-emprendedor/","Lea","Tapa Blanda",160,"11/2023",115.625,2023
"MAR DEL PLATA: EL MERCADO INMOBILIARIO DEL OCIO","Victor Pegoraro",25850,"https://www.yenny-elateneo.com/productos/mar-del-plata-el-mercado-inmobiliario-del-ocio/","Prometeo","Tapa Blanda",248,"11/2023",104.233870967742,2023
"CRISIS & CO.","Ezequiel Kieczkier / Gabriel Weinstein",31990,"https://www.yenny-elateneo.com/productos/crisis-co/","Temas Grupo Editorial Srl","Tapa Blanda",192,"10/2023",166.614583333333,2023
"CORONADOS DE GLORIA YPF/AF LIBRERIAS","Ypf",57900,"https://www.yenny-elateneo.com/productos/coronados-de-gloria-ypf-af-librerias/","Planeta","Tapa Blanda",240,"10/2023",241.25,2023
"EL MANUSCRITO ORIGINAL","Napoleon Hill",49900,"https://www.yenny-elateneo.com/productos/el-manuscrito-original/","Del Fondo Editorial","Tapa Blanda",832,"09/2023",59.9759615384615,2023
"CAPITALISMO O SOCIALISMO","Feijoo Valenzuela",30000,"https://www.yenny-elateneo.com/productos/capitalismo-o-socialismo/","Fondo De Cultura Economica","Tapa Blanda",487,"08/2023",61.6016427104723,2023
"12 PASOS PARA SER UN BUEN JEFE","Martha Alles",28700,"https://www.yenny-elateneo.com/productos/12-pasos-para-ser-un-buen-jefe/","Granica","Tapa Blanda",168,"07/2023",170.833333333333,2023
"DEREK SIVERS: OBRAS COMPLETAS (O CASI)","Derek Sivers",31000,"https://www.yenny-elateneo.com/productos/derek-sivers-obras-completas-o-casi/","Empresa Activa","Tapa Blanda",448,"07/2023",69.1964285714286,2023
"GUIA RAPIDA DE LAS 48 LEYES DE PODER - N. ED.","Robert Greene",27700,"https://www.yenny-elateneo.com/productos/guia-rapida-de-las-48-leyes-de-poder-n-ed/","Oceano","Tapa Blanda",215,"06/2023",128.837209302326,2023
"EL DISEÑO EDUCATIVO","Santiago Lazzati",25200,"https://www.yenny-elateneo.com/productos/el-diseno-educativo/","Granica","Tapa Blanda",132,"05/2021",190.909090909091,2021
"COMO ORGANIZARTE EN UN MUNDO VERTIGINOSO","Julio C. Perez",25900,"https://www.yenny-elateneo.com/productos/como-organizarte-en-un-mundo-vertiginoso/","Del Fondo Editorial","Tapa Blanda",300,"05/2021",86.3333333333333,2021
"MANUAL PARA IRREVERENTES","Juan Diego Gomez Gomez",28900,"https://www.yenny-elateneo.com/productos/manual-para-irreverentes/","Paidos","Tapa Blanda",224,"05/2021",129.017857142857,2021
"ODISEA 2050","Jaime Requeijo",33614.04,"https://www.yenny-elateneo.com/productos/odisea-2050/","Alianza","Tapa Blanda",224,"05/2021",150.062678571429,2021
"EL PODER DE UNA VEZ MAS","Ed Mylett",21400,"https://www.yenny-elateneo.com/productos/el-poder-de-una-vez-mas/","Empresa Activa","Tapa Blanda",288,"06/2023",74.3055555555556,2023
"LAS 11 LLAVES","N.c. Kurt",25900,"https://www.yenny-elateneo.com/productos/las-11-llaves/","Del Fondo Editorial","Tapa Blanda",254,"06/2023",101.968503937008,2023
"SECRETOS DE LA RESILIENCIA","Javier De Pablo Simon Dolan",58900,"https://www.yenny-elateneo.com/productos/secretos-de-la-resiliencia/","Profit","Tapa Blanda",376,"06/2023",156.648936170213,2023
"RRETOS HHUMANOS","Esteban Negroni",20800,"https://www.yenny-elateneo.com/productos/rretos-hhumanos/","Kolima","Tapa Blanda",290,"06/2023",71.7241379310345,2023
"CO-CREATION SPACE","Jan Vos",18500,"https://www.yenny-elateneo.com/productos/co-creation-space/","Kolima","Tapa Blanda",178,"06/2023",103.932584269663,2023
"HABLEMOS DE EMPLOYEEE ADVOCACY EN LINKEDIN","Ariel M. Benedetti",33990,"https://www.yenny-elateneo.com/productos/hablemos-de-employeee-advocacy-en-linkedin/","Temas Grupo Editorial Srl","Tapa Blanda",216,"06/2023",157.361111111111,2023
"CONSTRUYE TU ELEVATOR PITCH","Cesar Piqueras",42500,"https://www.yenny-elateneo.com/productos/construye-tu-elevator-pitch/","Profit","Tapa Blanda",136,"05/2023",312.5,2023
"8 PASOS PARA INCREMENTAR TUS VENTAS","Mestas",8292.38,"https://www.yenny-elateneo.com/productos/8-pasos-para-incrementar-tus-ventas/","Mestas","Tapa Blanda",NA,"05/2023",NA,2023
"PODER EMPRENDEDOR","Daniel Adler",23900,"https://www.yenny-elateneo.com/productos/poder-emprendedor/","Planeta","Tapa Blanda",128,"05/2023",186.71875,2023
"MANAGGEMENT TIPS","Reverte",22724,"https://www.yenny-elateneo.com/productos/managgement-tips/","Reverte","Tapa Blanda",NA,"05/2023",NA,2023
"COMO LIDERAR REUNIONES VIRTUALES","Reverte",15732,"https://www.yenny-elateneo.com/productos/como-liderar-reuniones-virtuales/","Reverte","Tapa Blanda",NA,"05/2023",NA,2023
"COMO DIRIGIR EQUIPOS VIRTUALES","Reverte",15732,"https://www.yenny-elateneo.com/productos/como-dirigir-equipos-virtuales/","Reverte","Tapa Blanda",NA,"05/2023",NA,2023
"IE VIRTUAL - SERIE INTELIGENCIA EMOCIONAL HBR","Reverte",15732,"https://www.yenny-elateneo.com/productos/ie-virtual-serie-inteligencia-emocional-hbr/","Reverte","Tapa Blanda",NA,"05/2023",NA,2023
"EVANGELIO DE LA RIQUEZA","Andrew Carnegie",18431,"https://www.yenny-elateneo.com/productos/evangelio-de-la-riqueza/","Biblok","Tapa Blanda",307,"05/2023",60.0358306188925,2023
"NO SON CUENTOS CHINOS","Angel Garcia Crespo",21800,"https://www.yenny-elateneo.com/productos/no-son-cuentos-chinos/","Empresa Activa","Tapa Blanda",224,"05/2023",97.3214285714286,2023
"CHAMP","Diego Cuellar",15300,"https://www.yenny-elateneo.com/productos/champ/","Kolima","Tapa Blanda",152,"12/2020",100.657894736842,2020
"¿POR QUE NO ASCIENDEN LAS MUJERES?","Marshall - Helgesen",19700,"https://www.yenny-elateneo.com/productos/por-que-no-ascienden-las-mujeres/","Empresa Activa","Tapa Blanda",304,"04/2023",64.8026315789474,2023
"FILANTROINVERSION INMOBILIARA","Ivan Anz",11900,"https://www.yenny-elateneo.com/productos/filantroinversion-inmobiliara/","Dunken","Tapa Blanda",NA,"04/2023",NA,2023
"CODIGO FUTURO","Martin Martorell",32600,"https://www.yenny-elateneo.com/productos/codigo-futuro/","Granica","Tapa Blanda",192,"04/2023",169.791666666667,2023
"EL PENSAMIENTO CRITICO","Santiago Lazzati",28700,"https://www.yenny-elateneo.com/productos/el-pensamiento-critico/","Granica","Tapa Blanda",152,"03/2023",188.815789473684,2023
"LAS REGLAS DE LA CONFIANZA","Bob Lee / Emilia Montero / Luis Riva",25990,"https://www.yenny-elateneo.com/productos/las-reglas-de-la-confianza/","Temas Grupo Editorial Srl","Tapa Blanda",244,"08/2020",106.516393442623,2020
"ARGENTINA PRIMERO","Martin Redrado",35699,"https://www.yenny-elateneo.com/productos/argentina-primero/","Sudamericana","Tapa Blanda",216,"08/2020",165.273148148148,2020
"EMPRESARIOS Y ESTADO EN ARGENTINA","Claudio Belini",31200,"https://www.yenny-elateneo.com/productos/empresarios-y-estado-en-argentina/","Lenguaje Claro","Tapa Blanda",334,"07/2020",93.4131736526946,2020
"MISION BLABLACAR","Benoit Reillier",29400,"https://www.yenny-elateneo.com/productos/mision-blablacar/","Empresa Activa","Tapa Blanda",352,"03/2023",83.5227272727273,2023
"ANGELES Y DEMONIOS DE LA FAMILIA EMPRESARIA","Jordi Tarragona Coromina",40600,"https://www.yenny-elateneo.com/productos/angeles-y-demonios-de-la-familia-empresaria/","Profit","Tapa Blanda",200,"06/2020",203,2020
"SELF-MANAGEMENT","Leonardo Ravier",43900,"https://www.yenny-elateneo.com/productos/self-management/","Profit","Tapa Blanda",176,"06/2020",249.431818181818,2020
"VENTA POSITIVA","Nuria Martin",54500,"https://www.yenny-elateneo.com/productos/venta-positiva/","Profit","Tapa Blanda",416,"06/2020",131.009615384615,2020
"JUNTOS","Cesar Piqueras",42500,"https://www.yenny-elateneo.com/productos/juntos/","Profit","Tapa Blanda",196,"06/2020",216.836734693878,2020
"EL BENEFICIO","Georges Escribano / Alex Rovira",32800,"https://www.yenny-elateneo.com/productos/el-beneficio/","Plataforma Editorial","Tapa Blanda",152,"06/2020",215.789473684211,2020
"CAJA DE HERRAMIENTAS PARA REPARAR LA ARGENTINA","Oscar Binello",4900,"https://www.yenny-elateneo.com/productos/caja-de-herramientas-para-reparar-la-argentina/","Yump","Tapa Blanda",NA,"03/2023",NA,2023
"TU PROPIO EQUIPO CREATIVO","Dorling Kindersley",4195.2,"https://www.yenny-elateneo.com/productos/tu-propio-equipo-creativo/","Dorling Kindersley","Tapa Blanda",NA,"05/2020",NA,2020
"DOMINAR EL ARTE DEL FEEDBACK","Dorling Kindersley",4195.2,"https://www.yenny-elateneo.com/productos/dominar-el-arte-del-feedback/","Dorling Kindersley","Tapa Blanda",NA,"05/2020",NA,2020
"GANARSE AL JEFE O EL ARTE DE PROMOCIONARSE","Dorling Kindersley",4195.2,"https://www.yenny-elateneo.com/productos/ganarse-al-jefe-o-el-arte-de-promocionarse/","Dorling Kindersley","Tapa Blanda",NA,"05/2020",NA,2020
"EL CAMINO","Tony J. Robbins",36900,"https://www.yenny-elateneo.com/productos/el-camino/","Paidos","Tapa Blanda",320,"02/2023",115.3125,2023
"OTRO CAPITALISMO TIENE QUE SER POSIBLE","Mariana Mazzucato / Michael Jacobs",29990,"https://www.yenny-elateneo.com/productos/otro-capitalismo-tiene-que-ser-posible/","Siglo Xxi Editores Argentina","Tapa Blanda",320,"02/2023",93.71875,2023
"IMPULSO MILLONARIO","Gerardo Garcia Manjarrez",20500,"https://www.yenny-elateneo.com/productos/impulso-millonario/","V&r","Tapa Blanda",NA,"03/2020",NA,2020
"ERRANDO EL TIRO","Eric Barker",25400,"https://www.yenny-elateneo.com/productos/errando-el-tiro/","Empresa Activa","Tapa Blanda",320,"02/2023",79.375,2023
"SOSTENIBILIDAD CON PROPOSITO","Ana Palencia",42500,"https://www.yenny-elateneo.com/productos/sostenibilidad-con-proposito/","Profit","Tapa Blanda",168,"01/2020",252.97619047619,2020
"MOCHILA ARGENTINA","Teddy Karagozian",18990,"https://www.yenny-elateneo.com/productos/mochila-argentina/","Clave Intelectual S.a.","Tapa Blanda",160,"01/2023",118.6875,2023
"COMUSICACION","Adolfo Corujo",44800,"https://www.yenny-elateneo.com/productos/comusicacion/","Plataforma Editorial","Tapa Blanda",368,"12/2019",121.739130434783,2019
"CAMBIANDO EL COMPORTAMIENTO DE LOS EMPLEADOS","Nik Kinley / Shlomo Ben-hur",26220,"https://www.yenny-elateneo.com/productos/cambiando-el-comportamiento-de-los-empleados/","Reverte","Tapa Blanda",306,"12/2019",85.6862745098039,2019
"UNA VIDA QUE VALGA LA PENA","Marshall Goldsmith / Mark Reiter",29400,"https://www.yenny-elateneo.com/productos/una-vida-que-valga-la-pena/","Indicios","Tapa Blanda",288,"12/2022",102.083333333333,2022
"EL VIAJE","Josep Maria Gascon",23000,"https://www.yenny-elateneo.com/productos/viaje-el1/","Empresa Activa","Tapa Blanda",224,"12/2022",102.678571428571,2022
"REVOLUCION IMPOSITIVA","Teddy Karagozian",21890,"https://www.yenny-elateneo.com/productos/revolucion-impositiva/","Clave Intelectual S.a.","Tapa Blanda",250,"11/2019",87.56,2019
"COMO SALIR DE LA CRISIS","Carlos; Sternberg Sofia Et Al Bianco",15190,"https://www.yenny-elateneo.com/productos/como-salir-de-la-crisis/","Clave Intelectual S.a.","Tapa Blanda",250,"11/2019",60.76,2019
"CAPITAL SALARIO Y CRISIS","Siglo Xxi Editores Mexico",34490,"https://www.yenny-elateneo.com/productos/capital-salario-y-crisis/","Siglo Xxi Editores Mexico","Tapa Blanda",250,"12/2022",137.96,2022
"MEGACAPITALISTAS","Peter Phillips",37799,"https://www.yenny-elateneo.com/productos/megacapitalistas/","Roca Editorial","Tapa Blanda",320,"11/2019",118.121875,2019
"REPLAY","Ernesto Sandler",1200,"https://www.yenny-elateneo.com/productos/replay/","Mucho Gusto","Tapa Blanda",272,"11/2019",4.41176470588235,2019
"IDEA","Alejandro Masco",24990,"https://www.yenny-elateneo.com/productos/idea/","Temas Grupo Editorial Srl","Tapa Blanda",112,"11/2022",223.125,2022
"INNOVAR CON VALOR","German Stalker",32990,"https://www.yenny-elateneo.com/productos/innovar-con-valor/","Temas Grupo Editorial Srl","Tapa Blanda",252,"11/2022",130.912698412698,2022
"TRANSFORMANDO LA CADENA DE SUMINISTRO","John T. Mentzer / J. Paul Dittmann / Reuben E. Slone",57400,"https://www.yenny-elateneo.com/productos/transformando-la-cadena-de-suministro/","Profit","Tapa Blanda",216,"11/2019",265.740740740741,2019
