"titulo","autor","precio","enlace","editorial","encuadernacion","paginas","publicacion","precio_pag","anio"
"UN MUNDO MARAVILLOSO","Pablo Rieznik",22600,"https://www.yenny-elateneo.com/productos/un-mundo-maravilloso/","Biblos","Tapa Blanda",229,"04/2009",98.6899563318777,2009
"ARGENTINA EN EL SIGLO VEINTE","David Rock",25060,"https://www.yenny-elateneo.com/productos/argentina-en-el-siglo-veinte/","Lenguaje Claro","Tapa Blanda",272,"03/2009",92.1323529411765,2009
"LA CUARTA PANTALLA","Roberto Igarsa",23000,"https://www.yenny-elateneo.com/productos/la-cuarta-pantalla/","Ugerman Editor","Tapa Blanda",198,"11/2008",116.161616161616,2008
"NECESARIO PERO NO SUFICIENTE","Eliyahu Goldratt",38700,"https://www.yenny-elateneo.com/productos/necesario-pero-no-suficiente/","Granica","Tapa Blanda",288,"11/2008",134.375,2008
"NO ES CUESTION DE SUERTE","Eliyahu Goldratt",41900,"https://www.yenny-elateneo.com/productos/no-es-cuestion-de-suerte/","Granica","Tapa Blanda",336,"11/2008",124.702380952381,2008
"EL ESPIRITU TRANSFORMADOR","Jair Moggi / Daniel Burkhard",27600,"https://www.yenny-elateneo.com/productos/el-espiritu-transformador/","Antroposofica","Tapa Blanda",127,"02/2008",217.322834645669,2008
"CORPORACIONES EN EL PODER","Hernan Ramirez",25060,"https://www.yenny-elateneo.com/productos/corporaciones-en-el-poder/","Lenguaje Claro","Tapa Blanda",352,"11/2007",71.1931818181818,2007
"EL TRABAJO EN EQUIPO","Jon R. Katzenbach",44800,"https://www.yenny-elateneo.com/productos/el-trabajo-en-equipo/","Granica","Tapa Blanda",368,"05/2007",121.739130434783,2007
"MISION RESULTADO","Jose Antonio Veiga",21000,"https://www.yenny-elateneo.com/productos/mision-resultado/","Ugerman Editor","Tapa Blanda",304,"11/2006",69.0789473684211,2006
"COMO SE FINANCIAN LAS ONG ARGENTINAS?","Pablo Marsal",13600,"https://www.yenny-elateneo.com/productos/como-se-financian-las-ong-argentinas/","Biblos","Tapa Blanda",102,"10/2005",133.333333333333,2005
"LA CARRERA","Eliyahu Goldratt",29400,"https://www.yenny-elateneo.com/productos/la-carrera/","Granica","Tapa Blanda",199,"10/1999",147.738693467337,1999
