"","editorial","paginas","anio","id_libro"
"342","PROFIT
","10
","01/01/2025
",342
"343","PROFIT
","10
","01/01/2025
",343
"344","SUDAMERICANA
","480
","01/01/2025
",344
"345","Grijalbo
","256
","01/01/2025
",345
"346","AGUILAR
","280
","01/01/2025
",346
"347","Del Fondo Editorial
","142
","01/01/2025
",347
"348","PAIDOS
","128
","01/01/2025
",348
"349","EMPRESA ACTIVA
","224
","01/01/2025
",349
"350","EMPRESA ACTIVA
","112
","01/01/2025
",350
"351","D&D
","274
","01/01/2025
",351
"352","DEBATE
","224
","01/01/2016
",352
"353","DUNKEN SRL
","10
","01/01/2023
",353
"354","EUDEBA
","312
","01/01/2022
",354
"355","PIRAMIDE
","280
","01/01/2000
",355
"356","MACRO
","173
","01/01/2016
",356
"357","MACRO
","144
","01/01/2018
",357
"358","EDAF
","186
","01/01/2009
",358
"359","DUNKEN SRL
","10
","01/01/2022
",359
"360","DIAZ DE SANTOS IMPORTADOS
","10
","01/01/2025
",360
"361","NED EDICIONES
","224
","01/01/2024
",361
"362","CLARIDAD
","430
","01/01/2006
",362
"363","GRUPO NELSON
","160
","01/01/2017
",363
"364","OBELISCO
","304
","01/01/2021
",364
"365","ROBERTO RUSSO
","362
","01/01/2024
",365
"366","LUGAR EDITORIAL
","96
","01/01/2012
",366
"367","ANTONI BOSCH
","912
","01/01/2016
",367
"368","C.E.C.S.A.
","300
","01/01/2000
",368
"369","ALFAOMEGA GRUPO EDITOR
","156
","01/01/2009
",369
"370","DIAZ DE SANTOS
","512
","01/01/2006
",370
"371","BANCO INTERAMERICANO DE DESARROLLO
","344
","01/01/2004
",371
"372","DIAZ DE SANTOS
","268
","01/01/1995
",372
"373","DIAZ DE SANTOS
","618
","01/01/2011
",373
"374","DIAZ DE SANTOS
","224
","01/01/2008
",374
"375","DIAZ DE SANTOS
","448
","01/01/2007
",375
"376","EUNSA
","10
","01/01/2024
",376
"377","DUNKEN
","10
","01/01/2024
",377
"378","FUNDACION CONFEMETAL
","10
","01/01/2024
",378
"379","FUNDACION CONFEMETAL
","10
","01/01/2024
",379
"380","FUNDACION CONFEMETAL
","10
","01/01/2024
",380
"381","MULTILIBROS
","210
","01/01/2018
",381
"382","ANAYA MULTIMEDIA
","10
","01/01/2024
",382
"383","OCEANO
","230
","01/01/2011
",383
"384","ALFAOMEGA GRUPO EDITOR
","200
","01/01/2009
",384
"385","EUNSA
","10
","01/01/2024
",385
"386","EUNSA
","10
","01/01/2024
",386
"387","EUNSA
","10
","01/01/2024
",387
"388","FUNDACION CONFEMETAL
","10
","01/01/2024
",388
"389","FUNDACION CONFEMETAL
","10
","01/01/2024
",389
"390","DEXTRA
","136
","01/01/2024
",390
"391","DEXTRA
","454
","01/01/2024
",391
"392","ALFAOMEGA GRUPO EDITOR
","180
","01/01/2008
",392
"393","GRUPO LASER
","160
","01/01/2018
",393
"394","MARCOMBO
","10
","01/01/2016
",394
"395","VALLETTA EDICIONES
","10
","01/01/2016
",395
"396","DIAZ DE SANTOS
","196
","01/01/2005
",396
"397","ERREPAR
","10
","01/01/2024
",397
"398","ESIC
","256
","01/01/1990
",398
"399","ANDROMEDA
","192
","01/01/2003
",399
"400","DIAZ DE SANTOS
","144
","01/01/2021
",400
"401","CLARIDAD
","202
","01/01/2009
",401
"402","PROFIT
","10
","01/01/2024
",402
"403","CONEXION CON DIOS
","104
","01/01/2024
",403
"404","CONEXION CON DIOS
","160
","01/01/2024
",404
"405","CIRCULO MILITAR
","168
","01/01/2016
",405
"406","SIGLO VEINTIUNO EDITORES ARGENTINA S.A.
","264
","01/01/2019
",406
"407","VALLETTA EDICIONES
","216
","01/01/2022
",407
"408","DUNKEN SRL
","10
","01/01/2023
",408
"409","MACRO
","158
","01/01/2016
",409
"410","DEBOLSILLO
","352
","01/01/2023
",410
"411","DIAZ DE SANTOS
","200
","01/01/2008
",411
"412","LID
","264
","01/01/2021
",412
"413","ANTONI BOSCH
","880
","01/01/2004
",413
"414","COOPERATIVAS
","498
","01/01/2010
",414
"415","CANEDA PABLO DANIEL
","10
","01/01/2023
",415
"416","EDUNLA
","10
","01/01/2023
",416
"417","VALLETTA EDICIONES
","432
","01/01/2023
",417
"418","VALLETTA EDICIONES
","224
","01/01/2023
",418
"419","VALLETTA EDICIONES
","520
","01/01/2023
",419
"420","REVERTE
","758
","01/01/2005
",420
"421","PEARSON ALHAMBRA
","132
","01/01/2004
",421
"422","FUNDACION CONFEMETAL
","10
","01/01/2024
",422
"423","DIAZ DE SANTOS
","192
","01/01/1997
",423
"424","DUNKEN SRL
","10
","01/01/2023
",424
"425","DIAZ DE SANTOS
","10
","01/01/2013
",425
"426","EUNSA
","10
","01/01/2023
",426
"427","EUNSA
","10
","01/01/2023
",427
"428","COOPERATIVAS
","376
","01/01/2000
",428
"429","PARANINFO
","10
","01/01/2016
",429
"430","TEBAR
","10
","01/01/2023
",430
"431","KOLIMA
","396
","01/01/2016
",431
"432","PLATAFORMA EDITORIAL
","248
","01/01/2016
",432
"433","DUNKEN SRL
","10
","01/01/2023
",433
"434","DEXTRA
","10
","01/01/2023
",434
"435","EUNSA
","10
","01/01/2023
",435
"436","EUNSA
","10
","01/01/2023
",436
"437","EUNSA
","10
","01/01/2023
",437
"438","ALIANZA
","240
","01/01/2009
",438
"439","DIAZ DE SANTOS
","254
","01/01/2022
",439
"440","UNIR
","260
","01/01/2019
",440
"441","EDUNTREF
","480
","01/01/2002
",441
"442","ANTONI BOSCH
","320
","01/01/2016
",442
"443","UNIR
","264
","01/01/2019
",443
"444","ANTONI BOSCH
","200
","01/01/2016
",444
"445","ANTONI BOSCH
","10
","01/01/2023
",445
"446","ANTONI BOSCH
","10
","01/01/2023
",446
"447","REVERTE
","10
","01/01/2023
",447
"448","NOWTILUS
","10
","01/01/2023
",448
"449","EMPRESA ACTIVA
","352
","01/01/2016
",449
"450","ANTONI BOSCH
","480
","01/01/2003
",450
"451","ANTONI BOSCH
","10
","01/01/2023
",451
"452","SIGLO XXI EDITORES
","196
","01/01/2001
",452
