"result.editorial","result.encuadernacion","result.paginas","result.publicacion"
Empresa Activa,Tapa Blanda,N° 224,10/2022
Biblos,Tapa Blanda,N° 182,10/2022
Profit,Tapa Blanda,N° 400,09/2022
Profit,Tapa Blanda,N° 704,09/2022
Plataforma Editorial,Tapa Blanda,N° 224,09/2022
Lid,Tapa Blanda,N° 192,09/2022
Piramide,Tapa Blanda,N° 225,08/2022
Reverte,Tapa Blanda,N° 303,07/2022
Reverte,Tapa Blanda,N° 323,07/2022
Reverte,Tapa Blanda,N° 218,07/2022
Reverte,Tapa Blanda,N° 140,07/2022
Profit,Tapa Blanda,N° 208,07/2022
Plataforma Editorial,Tapa Blanda,N° 152,07/2022
Empresa Activa,Tapa Blanda,N° 216,06/2022
Empresa Activa,Tapa Blanda,N° 224,06/2022
El Ateneo,Tapa Blanda,N° 320,06/2022
Kolima,Tapa Blanda,N° 128,06/2022
Granica,Tapa Blanda,N° 224,05/2022
Kolima,Tapa Blanda,N° 256,05/2022
Oceano,Tapa Blanda,N° 276,05/2022
Biblioteca Nacional,Tapa Blanda,N° 344,03/2022
Paidos,Tapa Blanda,N° 272,03/2022
Profit,Tapa Blanda,N° 192,03/2022
Profit,Tapa Blanda,N° 304,03/2022
Profit,Tapa Blanda,N° 216,03/2022
Profit,Tapa Blanda,N° 192,03/2022
Ediciones Infinito,Tapa Blanda,N° 152,03/2022
Granica,Tapa Blanda,N° 304,03/2022
Profit,Tapa Blanda,N° 256,02/2022
Profit,Tapa Blanda,N° 110,02/2022
Profit,Tapa Blanda,N° 200,12/2021
Oceano,Tapa Blanda,N° 260,11/2021
Granica,Tapa Blanda,N° 288,11/2021
Granica,Tapa Blanda,N° 320,11/2021
Profit,Tapa Blanda,N° 216,10/2021
Profit,Tapa Blanda,N° 208,09/2021
Del Fondo Editorial,Tapa Blanda,N° 214,09/2021
Agustin Agency,Tapa Blanda,NA,07/2021
Temas Grupo Editorial Srl,Tapa Blanda,N° 198,07/2021
Vertice De Ideas,Tapa Blanda,N° 258,06/2021
Lea,Tapa Blanda,N° 160,11/2023
Prometeo,Tapa Blanda,N° 248,11/2023
Temas Grupo Editorial Srl,Tapa Blanda,N° 192,10/2023
Planeta,Tapa Blanda,N° 240,10/2023
Del Fondo Editorial,Tapa Blanda,N° 832,09/2023
Fondo De Cultura Economica,Tapa Blanda,N° 487,08/2023
Granica,Tapa Blanda,N° 168,07/2023
Empresa Activa,Tapa Blanda,N° 448,07/2023
Oceano,Tapa Blanda,N° 215,06/2023
Granica,Tapa Blanda,N° 132,05/2021
Del Fondo Editorial,Tapa Blanda,N° 300,05/2021
Paidos,Tapa Blanda,N° 224,05/2021
Alianza,Tapa Blanda,N° 224,05/2021
Empresa Activa,Tapa Blanda,N° 288,06/2023
Del Fondo Editorial,Tapa Blanda,N° 254,06/2023
Profit,Tapa Blanda,N° 376,06/2023
Kolima,Tapa Blanda,N° 290,06/2023
Kolima,Tapa Blanda,N° 178,06/2023
Temas Grupo Editorial Srl,Tapa Blanda,N° 216,06/2023
Profit,Tapa Blanda,N° 136,05/2023
Mestas,Tapa Blanda,NA,05/2023
Planeta,Tapa Blanda,N° 128,05/2023
Reverte,Tapa Blanda,NA,05/2023
Reverte,Tapa Blanda,NA,05/2023
Reverte,Tapa Blanda,NA,05/2023
Reverte,Tapa Blanda,NA,05/2023
Biblok,Tapa Blanda,N° 307,05/2023
Empresa Activa,Tapa Blanda,N° 224,05/2023
Kolima,Tapa Blanda,N° 152,12/2020
Empresa Activa,Tapa Blanda,N° 304,04/2023
Dunken,Tapa Blanda,NA,04/2023
Granica,Tapa Blanda,N° 192,04/2023
Granica,Tapa Blanda,N° 152,03/2023
Temas Grupo Editorial Srl,Tapa Blanda,N° 244,08/2020
Sudamericana,Tapa Blanda,N° 216,08/2020
Lenguaje Claro,Tapa Blanda,N° 334,07/2020
Empresa Activa,Tapa Blanda,N° 352,03/2023
Profit,Tapa Blanda,N° 200,06/2020
Profit,Tapa Blanda,N° 176,06/2020
Profit,Tapa Blanda,N° 416,06/2020
Profit,Tapa Blanda,N° 196,06/2020
